date,close,cycle_phase,cycle_confidence,transition_risk,composite_score,zigzag_structure,stc_value,zigzag_score,stc_score,trend_score,trend_price_vs_sma200_pct,trend_sma50_vs_sma200_pct,stc_direction,raw_phase,raw_transition_risk,candlestick_score,candlestick_patterns,harmonic_pattern,harmonic_score,gann_score,gann_active_cycle_days
2023-03-10,8268.19921875,CONTRACTION,1.0,low,-0.517,LOWER_HIGHS_LOWER_LOWS,0.08,-1.0,-0.511,-0.04,-0.51,-0.28,FALLING,CONTRACTION,low,-0.143,"BEARISH_ENGULFING,BULLISH_ENGULFING",,0.0,0.0,
2023-03-15,8146.50634765625,CONTRACTION,1.0,low,-0.543,LOWER_HIGHS_LOWER_LOWS,0.01,-1.0,-0.506,-0.122,-2.1,-0.34,FALLING,CONTRACTION,low,0.6,"BEARISH_ENGULFING,HAMMER",,0.0,0.6,45
2023-03-20,7901.05078125,CONTRACTION,1.0,low,-0.594,LOWER_HIGHS_LOWER_LOWS,0.0,-1.0,-0.501,-0.28,-5.11,-0.48,FALLING,CONTRACTION,low,1.0,HAMMER,,0.0,0.6,45
2023-03-23,8029.47412109375,CONTRACTION,1.0,low,-0.571,LOWER_HIGHS_LOWER_LOWS,0.0,-1.0,-0.5,-0.214,-3.66,-0.63,FALLING,CONTRACTION,low,0.0,,,0.0,0.6,49
2023-03-28,7890.67041015625,CONTRACTION,1.0,low,-0.603,LOWER_HIGHS_LOWER_LOWS,0.0,-1.0,-0.5,-0.309,-5.4,-0.78,FALLING,CONTRACTION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2023-04-03,8173.515625,CONTRACTION,0.67,low,0.116,CONTRACTING_RANGE,50.0,0.0,0.5,-0.152,-2.1,-0.94,RISING,ACCUMULATION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2023-04-10,8204.373046875,CONTRACTION,0.67,medium,0.265,CONTRACTING_RANGE,93.75,0.0,0.938,-0.144,-1.85,-1.03,RISING,ACCUMULATION,medium,0.0,,,0.0,0.0,
2023-04-13,8334.7646484375,CONTRACTION,0.67,medium,0.297,CONTRACTING_RANGE,99.22,0.0,0.977,-0.086,-0.46,-1.26,RISING,ACCUMULATION,medium,0.0,,,0.0,0.0,
2023-04-19,8343.5615234375,CONTRACTION,0.67,low,0.156,CONTRACTING_RANGE,99.9,0.0,0.56,-0.092,-0.42,-1.42,RISING,ACCUMULATION,low,0.0,,,0.0,0.0,
2023-04-24,8138.046875,ACCUMULATION,0.67,low,0.046,CONTRACTING_RANGE,95.26,0.0,0.366,-0.228,-2.9,-1.67,FALLING,ACCUMULATION,low,1.0,BULLISH_ENGULFING,,0.0,0.0,
2023-04-27,8211.87109375,ACCUMULATION,0.67,low,-0.339,CONTRACTING_RANGE,17.85,0.0,-0.821,-0.197,-2.04,-1.89,FALLING,CONTRACTION,low,1.0,HAMMER,,0.0,0.0,
