date,close,cycle_phase,cycle_confidence,transition_risk,composite_score,zigzag_structure,stc_value,zigzag_score,stc_score,trend_score,trend_price_vs_sma200_pct,trend_sma50_vs_sma200_pct,stc_direction,raw_phase,raw_transition_risk,candlestick_score,candlestick_patterns,harmonic_pattern,harmonic_score,gann_score,gann_active_cycle_days
2021-10-12,766.0548095703125,EXPANSION,0.67,high,0.487,HIGHER_HIGHS_HIGHER_LOWS,0.06,1.0,-0.539,1.0,33.15,21.4,FALLING,DISTRIBUTION,high,0.0,,,0.0,0.0,
2021-10-18,767.010498046875,DISTRIBUTION,0.67,high,0.504,HIGHER_HIGHS_HIGHER_LOWS,0.53,1.0,-0.489,1.0,32.38,22.15,RISING,DISTRIBUTION,high,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2021-10-21,754.5040893554688,DISTRIBUTION,0.67,high,0.496,HIGHER_HIGHS_HIGHER_LOWS,0.07,1.0,-0.512,1.0,29.4,22.91,FALLING,DISTRIBUTION,high,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2021-10-26,766.0451049804688,DISTRIBUTION,0.67,low,-0.168,LOWER_HIGHS_LOWER_LOWS,0.01,-1.0,-0.505,1.0,30.57,23.7,FALLING,DISTRIBUTION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2021-10-29,721.6317138671875,DISTRIBUTION,0.67,low,-0.167,LOWER_HIGHS_LOWER_LOWS,0.0,-1.0,-0.501,1.0,22.27,24.1,FALLING,DISTRIBUTION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2021-11-03,732.948486328125,DISTRIBUTION,0.67,low,-0.167,LOWER_HIGHS_LOWER_LOWS,0.0,-1.0,-0.5,1.0,23.44,24.16,FALLING,DISTRIBUTION,low,1.0,DOJI,,0.0,0.0,
2021-11-09,738.9212646484375,DISTRIBUTION,0.67,low,-0.167,LOWER_HIGHS_LOWER_LOWS,0.0,-1.0,-0.5,1.0,23.62,23.96,FALLING,DISTRIBUTION,low,1.0,DOJI,,0.0,0.0,
2021-11-12,739.0772094726562,DISTRIBUTION,0.67,low,-0.167,LOWER_HIGHS_LOWER_LOWS,0.0,-1.0,-0.5,1.0,22.85,23.47,FALLING,DISTRIBUTION,low,0.0,,,0.0,0.0,
2021-11-17,741.8613891601562,DISTRIBUTION,0.67,low,-0.167,LOWER_HIGHS_LOWER_LOWS,0.0,-1.0,-0.5,1.0,22.55,22.75,FALLING,DISTRIBUTION,low,0.0,,,0.0,0.0,
2021-11-23,693.7521362304688,DISTRIBUTION,0.67,low,-0.167,LOWER_HIGHS_LOWER_LOWS,0.0,-1.0,-0.5,1.0,13.93,21.79,FALLING,DISTRIBUTION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
