date,close,cycle_phase,cycle_confidence,transition_risk,composite_score,zigzag_structure,stc_value,zigzag_score,stc_score,trend_score,trend_price_vs_sma200_pct,trend_sma50_vs_sma200_pct,stc_direction,raw_phase,raw_transition_risk,candlestick_score,candlestick_patterns,harmonic_pattern,harmonic_score,gann_score,gann_active_cycle_days
2021-04-09,543.04345703125,DISTRIBUTION,0.67,medium,0.167,CONTRACTING_RANGE,0.0,0.0,-0.5,1.0,20.53,28.61,FALLING,DISTRIBUTION,medium,0.0,,,0.0,0.0,
2021-04-15,551.6753540039062,DISTRIBUTION,0.67,low,-0.167,LOWER_HIGHS_LOWER_LOWS,0.0,-1.0,-0.5,1.0,21.63,28.12,FALLING,DISTRIBUTION,low,0.0,,,0.0,0.0,
2021-04-20,536.23388671875,DISTRIBUTION,0.67,medium,0.167,CONTRACTING_RANGE,0.0,0.0,-0.5,1.0,17.47,26.64,FALLING,DISTRIBUTION,medium,0.0,,,0.0,0.0,
2021-04-26,566.9251098632812,DISTRIBUTION,1.0,low,0.625,CONTRACTING_RANGE,87.5,0.0,0.875,1.0,23.36,25.24,RISING,EXPANSION,low,1.0,BULLISH_ENGULFING,,0.0,0.0,
2021-04-29,596.0338134765625,DISTRIBUTION,1.0,low,0.661,CONTRACTING_RANGE,98.44,0.0,0.984,1.0,28.7,24.05,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2021-05-04,567.356689453125,DISTRIBUTION,1.0,low,0.873,HIGHER_HIGHS_HIGHER_LOWS,99.8,1.0,0.619,1.0,21.57,22.32,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2021-05-07,582.2706298828125,DISTRIBUTION,1.0,low,0.838,HIGHER_HIGHS_HIGHER_LOWS,99.98,1.0,0.515,1.0,23.8,20.93,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2021-05-12,570.4258422851562,EXPANSION,1.0,low,0.729,HIGHER_HIGHS_HIGHER_LOWS,89.47,1.0,0.186,1.0,20.47,19.92,FALLING,EXPANSION,low,0.0,,,0.0,0.0,
2021-05-18,607.3033447265625,EXPANSION,0.67,low,0.207,CONTRACTING_RANGE,62.03,0.0,-0.38,1.0,27.27,19.08,FALLING,DISTRIBUTION,low,0.0,,,0.0,0.0,
2021-05-21,616.1749267578125,EXPANSION,1.0,low,0.637,CONTRACTING_RANGE,91.24,0.0,0.912,1.0,28.05,18.17,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2021-05-26,625.8140258789062,EXPANSION,1.0,low,0.654,CONTRACTING_RANGE,98.81,0.0,0.962,1.0,28.89,17.54,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2021-05-31,635.6447143554688,EXPANSION,1.0,low,0.53,CONTRACTING_RANGE,99.85,0.0,0.591,1.0,29.79,16.98,RISING,EXPANSION,low,-1.0,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2021-06-03,623.6559448242188,EXPANSION,1.0,low,0.504,CONTRACTING_RANGE,99.98,0.0,0.511,1.0,26.29,16.74,RISING,EXPANSION,low,-1.0,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2021-06-08,616.1270141601562,EXPANSION,0.67,high,0.375,HIGHER_HIGHS_HIGHER_LOWS,12.5,1.0,-0.875,1.0,23.76,16.52,FALLING,DISTRIBUTION,high,-1.0,DOJI,,0.0,0.0,
2021-06-11,609.7011108398438,EXPANSION,0.67,high,0.339,HIGHER_HIGHS_HIGHER_LOWS,1.56,1.0,-0.984,1.0,21.53,16.37,FALLING,DISTRIBUTION,high,0.0,,,0.0,0.0,
