ticker,company_name,sector,as_of_date,close,cycle_phase,cycle_confidence,transition_risk,pending_phase,dwell_progress,composite_score,zigzag_score,stc_score,trend_score,candlestick_score,harmonic_pattern,gann_score,pe_ratio,pe_percentile_vs_universe,pb_ratio,dividend_yield_percent,earnings_quarterly_growth_percent
SERVOTECH.NS,SERVOTECH.NS,Unknown,2026-09-22,70.63999938964844,ACCUMULATION,0.44,low,CONTRACTION,3/5,-0.518,-1.0,-0.704,0.15,0.111,,0.0,,,,,
SESHAPAPER.NS,SESHAPAPER.NS,Unknown,2026-09-22,246.94000244140625,ACCUMULATION,0.67,low,EXPANSION,3/5,0.673,1.0,0.501,0.518,-1.0,,0.0,,,,,
SETCO.NS,SETCO.NS,Unknown,2026-09-22,17.040000915527344,ACCUMULATION,0.44,low,EXPANSION,1/5,0.396,1.0,0.445,-0.258,1.0,,0.0,,,,,
SETL.NS,SETL.NS,Unknown,2026-09-22,402.54998779296875,EXPANSION,0.67,high,DISTRIBUTION,3/5,0.012,0.0,-0.965,1.0,-1.0,,0.0,,,,,
SETUINFRA.NS,SETUINFRA.NS,Unknown,2026-09-22,0.5799999833106995,EXPANSION,0.67,high,DISTRIBUTION,3/5,0.346,1.0,-0.75,0.789,-1.0,,0.0,,,,,
SEYAIND.NS,SEYAIND.NS,Unknown,2026-09-22,13.640000343322754,CONTRACTION,0.67,low,EXPANSION,3/5,0.677,1.0,0.568,0.463,-1.0,,0.0,,,,,
SFL.NS,SFL.NS,Unknown,2026-09-22,648.25,ACCUMULATION,0.44,low,CONTRACTION,1/5,-0.142,-1.0,-0.037,0.611,-1.0,BAT,0.0,,,,,
SGFIN.NS,SGFIN.NS,Unknown,2026-09-22,624.5999755859375,CONTRACTION,0.44,low,DISTRIBUTION,3/5,-0.167,-1.0,-0.5,1.0,1.0,BUTTERFLY,0.0,,,,,
SGIL.NS,SGIL.NS,Unknown,2026-09-22,636.7999877929688,EXPANSION,0.44,low,CONTRACTION,3/5,-0.403,-1.0,-0.729,0.52,0.0,,0.0,,,,,
SGL.NS,SGL.NS,Unknown,2026-09-22,9.069999694824219,EXPANSION,0.67,low,CONTRACTION,3/5,-0.653,-1.0,-0.534,-0.426,-0.6,,0.0,,,,,
SGMART.NS,SGMART.NS,Unknown,2026-09-22,721.7999877929688,CONTRACTION,0.44,low,DISTRIBUTION,3/5,-0.167,-1.0,-0.502,1.0,0.0,,0.0,,,,,
SHAH.NS,SHAH.NS,Unknown,2026-09-22,3.25,ACCUMULATION,0.67,low,CONTRACTION,3/5,-0.94,-1.0,-0.834,-0.987,1.0,,0.0,,,,,
SHAHALLOYS.NS,SHAHALLOYS.NS,Unknown,2026-09-22,89.9800033569336,EXPANSION,0.67,high,DISTRIBUTION,3/5,0.352,1.0,-0.738,0.793,1.0,,0.0,,,,,
SHAILY.NS,SHAILY.NS,Unknown,2026-09-22,3168.800048828125,CONTRACTION,0.44,low,,,-0.529,-1.0,-0.987,0.399,0.0,,0.0,,,,,
SHAKTIPUMP.NS,SHAKTIPUMP.NS,Unknown,2026-09-22,469.1000061035156,CONTRACTION,0.67,low,DISTRIBUTION,2/5,-0.09,0.0,-0.276,0.007,0.0,,0.0,,,,,
SHALBY.NS,SHALBY.NS,Unknown,2026-09-22,136.6999969482422,CONTRACTION,0.67,low,,,-0.596,-1.0,-0.505,-0.282,0.286,,0.0,,,,,
SHALPAINTS.NS,SHALPAINTS.NS,Unknown,2026-09-22,77.63999938964844,DISTRIBUTION,0.44,low,CONTRACTION,2/5,-0.206,-1.0,-0.5,0.883,-1.0,,0.0,,,,,
SHANKARA.NS,SHANKARA.NS,Unknown,2026-09-22,141.38999938964844,DISTRIBUTION,0.67,medium,,,0.326,1.0,-0.509,0.488,-1.0,,0.0,,,,,
SHANTI.NS,SHANTI.NS,Unknown,2026-09-22,5.559999942779541,ACCUMULATION,0.44,low,CONTRACTION,3/5,-0.464,-1.0,-0.986,0.594,-0.333,,0.0,,,,,
SHANTIGEAR.NS,SHANTIGEAR.NS,Unknown,2026-09-22,673.7000122070312,EXPANSION,0.67,medium,DISTRIBUTION,1/5,0.122,0.0,-0.5,0.867,0.0,,0.0,,,,,
SHANTIGOLD.NS,SHANTIGOLD.NS,Unknown,2026-09-22,258.0400085449219,DISTRIBUTION,0.67,high,,,0.346,1.0,-0.963,1.0,1.0,,0.0,,,,,
SHARDACROP.NS,SHARDACROP.NS,Unknown,2026-09-22,747.3499755859375,ACCUMULATION,0.44,low,CONTRACTION,3/5,-0.651,0.0,-0.972,-0.98,1.0,,0.0,,,,,
SHARDAMOTR.NS,SHARDAMOTR.NS,Unknown,2026-09-22,985.75,CONTRACTION,0.67,low,EXPANSION,3/5,0.481,0.0,0.713,0.729,0.667,,0.0,,,,,
SHAREINDIA.NS,SHAREINDIA.NS,Unknown,2026-09-22,223.32000732421875,EXPANSION,0.67,low,,,0.518,0.0,0.56,0.993,-1.0,,0.0,,,,,
SHEKHAWATI.NS,SHEKHAWATI.NS,Unknown,2026-09-22,23.670000076293945,CONTRACTION,0.67,low,EXPANSION,3/5,0.997,1.0,0.99,1.0,-1.0,,0.0,,,,,
